Region,Year,Value
MAŁOPOLSKIE,1998,13714274.0
MAŁOPOLSKIE,1999,12956071.0
MAŁOPOLSKIE,2000,13378283.0
MAŁOPOLSKIE,2001,12689174.0
MAŁOPOLSKIE,2002,12660893.0
MAŁOPOLSKIE,2003,13065652.0
MAŁOPOLSKIE,2004,13068620.0
MAŁOPOLSKIE,2005,13787910.0
MAŁOPOLSKIE,2006,15331657.0
MAŁOPOLSKIE,2007,15510130.0
MAŁOPOLSKIE,2008,13292185.0
MAŁOPOLSKIE,2009,10640660.0
MAŁOPOLSKIE,2010,10475801.0
MAŁOPOLSKIE,2011,10974586.0
MAŁOPOLSKIE,2012,10581600.0
MAŁOPOLSKIE,2013,11001246.0
MAŁOPOLSKIE,2014,10238076.0
MAŁOPOLSKIE,2015,10841885.0
MAŁOPOLSKIE,2016,10059451.0
MAŁOPOLSKIE,2017,10927841.0
MAŁOPOLSKIE,2018,10483040.0
MAŁOPOLSKIE,2019,8996236.0
MAŁOPOLSKIE,2020,7002044.0
MAŁOPOLSKIE,2021,7647073.0
MAŁOPOLSKIE,2022,7079274.0
MAŁOPOLSKIE,2023,6338697.0
MAŁOPOLSKIE,2024,5798169.0
ŚLĄSKIE,1998,35769540.0
ŚLĄSKIE,1999,33951848.0
ŚLĄSKIE,2000,34388438.0
ŚLĄSKIE,2001,34094850.0
ŚLĄSKIE,2002,37737048.0
ŚLĄSKIE,2003,39473745.0
ŚLĄSKIE,2004,42240882.0
ŚLĄSKIE,2005,40830217.0
ŚLĄSKIE,2006,45158983.0
ŚLĄSKIE,2007,46274601.0
ŚLĄSKIE,2008,42672053.0
ŚLĄSKIE,2009,37908857.0
ŚLĄSKIE,2010,43390320.0
ŚLĄSKIE,2011,43373049.0
ŚLĄSKIE,2012,40845924.0
ŚLĄSKIE,2013,41222470.0
ŚLĄSKIE,2014,37255461.0
ŚLĄSKIE,2015,38759768.0
ŚLĄSKIE,2016,38668243.0
ŚLĄSKIE,2017,39662941.0
ŚLĄSKIE,2018,36290054.0
ŚLĄSKIE,2019,32432440.0
ŚLĄSKIE,2020,29210535.0
ŚLĄSKIE,2021,35794677.0
ŚLĄSKIE,2022,32513083.0
ŚLĄSKIE,2023,26956329.0
ŚLĄSKIE,2024,26807816.0
LUBUSKIE,1998,1952856.0
LUBUSKIE,1999,1995381.0
LUBUSKIE,2000,1797363.0
LUBUSKIE,2001,1940436.0
LUBUSKIE,2002,1519292.0
LUBUSKIE,2003,1785783.0
LUBUSKIE,2004,2110630.0
LUBUSKIE,2005,2189278.0
LUBUSKIE,2006,2214912.0
LUBUSKIE,2007,2019075.0
LUBUSKIE,2008,1842330.0
LUBUSKIE,2009,1952442.0
LUBUSKIE,2010,2080915.0
LUBUSKIE,2011,2089620.0
LUBUSKIE,2012,2054163.0
LUBUSKIE,2013,2009504.0
LUBUSKIE,2014,2009116.0
LUBUSKIE,2015,2000096.0
LUBUSKIE,2016,2184225.0
LUBUSKIE,2017,2194203.0
LUBUSKIE,2018,2243861.0
LUBUSKIE,2019,3319983.0
LUBUSKIE,2020,2062448.0
LUBUSKIE,2021,2341242.0
LUBUSKIE,2022,2053234.0
LUBUSKIE,2023,2026222.0
LUBUSKIE,2024,1985957.0
WIELKOPOLSKIE,1998,18923477.0
WIELKOPOLSKIE,1999,18379694.0
WIELKOPOLSKIE,2000,16954802.0
WIELKOPOLSKIE,2001,17846506.0
WIELKOPOLSKIE,2002,17305476.0
WIELKOPOLSKIE,2003,18144145.0
WIELKOPOLSKIE,2004,17290327.0
WIELKOPOLSKIE,2005,16987325.0
WIELKOPOLSKIE,2006,17975626.0
WIELKOPOLSKIE,2007,18294219.0
WIELKOPOLSKIE,2008,18264665.0
WIELKOPOLSKIE,2009,17595577.0
WIELKOPOLSKIE,2010,16801325.0
WIELKOPOLSKIE,2011,16702195.0
WIELKOPOLSKIE,2012,16746326.0
WIELKOPOLSKIE,2013,17169379.0
WIELKOPOLSKIE,2014,16323090.0
WIELKOPOLSKIE,2015,16305965.0
WIELKOPOLSKIE,2016,15427033.0
WIELKOPOLSKIE,2017,14447488.0
WIELKOPOLSKIE,2018,11472803.0
WIELKOPOLSKIE,2019,10897868.0
WIELKOPOLSKIE,2020,9665445.0
WIELKOPOLSKIE,2021,9466660.0
WIELKOPOLSKIE,2022,8043086.0
WIELKOPOLSKIE,2023,6127142.0
WIELKOPOLSKIE,2024,6255689.0
ZACHODNIOPOMORSKIE,1998,10152718.0
ZACHODNIOPOMORSKIE,1999,9878450.0
ZACHODNIOPOMORSKIE,2000,9598940.0
ZACHODNIOPOMORSKIE,2001,8900441.0
ZACHODNIOPOMORSKIE,2002,7916230.0
ZACHODNIOPOMORSKIE,2003,8156020.0
ZACHODNIOPOMORSKIE,2004,7974250.0
ZACHODNIOPOMORSKIE,2005,8071549.0
ZACHODNIOPOMORSKIE,2006,9494011.0
ZACHODNIOPOMORSKIE,2007,9327554.0
ZACHODNIOPOMORSKIE,2008,9434860.0
ZACHODNIOPOMORSKIE,2009,8079485.0
ZACHODNIOPOMORSKIE,2010,9149264.0
ZACHODNIOPOMORSKIE,2011,9243136.0
ZACHODNIOPOMORSKIE,2012,9236536.0
ZACHODNIOPOMORSKIE,2013,9464519.0
ZACHODNIOPOMORSKIE,2014,8870342.0
ZACHODNIOPOMORSKIE,2015,8603967.0
ZACHODNIOPOMORSKIE,2016,8433808.0
ZACHODNIOPOMORSKIE,2017,7742445.0
ZACHODNIOPOMORSKIE,2018,7118007.0
ZACHODNIOPOMORSKIE,2019,6245818.0
ZACHODNIOPOMORSKIE,2020,6756701.0
ZACHODNIOPOMORSKIE,2021,6609443.0
ZACHODNIOPOMORSKIE,2022,5933468.0
ZACHODNIOPOMORSKIE,2023,5765596.0
ZACHODNIOPOMORSKIE,2024,5213558.0
DOLNOŚLĄSKIE,1998,14782386.0
DOLNOŚLĄSKIE,1999,14358602.0
DOLNOŚLĄSKIE,2000,15066661.0
DOLNOŚLĄSKIE,2001,14613832.0
DOLNOŚLĄSKIE,2002,13371718.0
DOLNOŚLĄSKIE,2003,14375075.0
DOLNOŚLĄSKIE,2004,16650508.0
DOLNOŚLĄSKIE,2005,18048750.0
DOLNOŚLĄSKIE,2006,17549445.0
DOLNOŚLĄSKIE,2007,16677110.0
DOLNOŚLĄSKIE,2008,16958620.0
DOLNOŚLĄSKIE,2009,15466639.0
DOLNOŚLĄSKIE,2010,16343721.0
DOLNOŚLĄSKIE,2011,15942227.0
DOLNOŚLĄSKIE,2012,16039578.0
DOLNOŚLĄSKIE,2013,15286356.0
DOLNOŚLĄSKIE,2014,13479186.0
DOLNOŚLĄSKIE,2015,12834234.0
DOLNOŚLĄSKIE,2016,12813035.0
DOLNOŚLĄSKIE,2017,12029342.0
DOLNOŚLĄSKIE,2018,11800388.0
DOLNOŚLĄSKIE,2019,10243275.0
DOLNOŚLĄSKIE,2020,10326497.0
DOLNOŚLĄSKIE,2021,15105772.0
DOLNOŚLĄSKIE,2022,16047570.0
DOLNOŚLĄSKIE,2023,13161918.0
DOLNOŚLĄSKIE,2024,12347238.0
OPOLSKIE,1998,12839673.0
OPOLSKIE,1999,13299434.0
OPOLSKIE,2000,14447703.0
OPOLSKIE,2001,13705019.0
OPOLSKIE,2002,12060740.0
OPOLSKIE,2003,13027670.0
OPOLSKIE,2004,13721904.0
OPOLSKIE,2005,13272882.0
OPOLSKIE,2006,14259268.0
OPOLSKIE,2007,15549982.0
OPOLSKIE,2008,14270634.0
OPOLSKIE,2009,13805821.0
OPOLSKIE,2010,13736434.0
OPOLSKIE,2011,13966727.0
OPOLSKIE,2012,12593052.0
