Region,Year,Value
MAŁOPOLSKIE,1996,37151.0
MAŁOPOLSKIE,1997,29036.0
MAŁOPOLSKIE,1998,20584.0
MAŁOPOLSKIE,1999,16588.0
MAŁOPOLSKIE,2000,16700.0
MAŁOPOLSKIE,2001,14432.0
MAŁOPOLSKIE,2002,12450.0
MAŁOPOLSKIE,2003,11452.0
MAŁOPOLSKIE,2004,12414.0
MAŁOPOLSKIE,2005,9302.0
MAŁOPOLSKIE,2006,9234.0
MAŁOPOLSKIE,2007,7264.0
MAŁOPOLSKIE,2008,5723.0
MAŁOPOLSKIE,2009,4319.0
MAŁOPOLSKIE,2010,3921.0
MAŁOPOLSKIE,2011,3910.0
MAŁOPOLSKIE,2012,3929.0
MAŁOPOLSKIE,2013,3592.0
MAŁOPOLSKIE,2014,3032.0
MAŁOPOLSKIE,2015,2830.0
MAŁOPOLSKIE,2016,2067.0
MAŁOPOLSKIE,2017,2057.0
MAŁOPOLSKIE,2018,1841.0
MAŁOPOLSKIE,2019,1635.0
MAŁOPOLSKIE,2020,1088.0
MAŁOPOLSKIE,2021,1155.0
MAŁOPOLSKIE,2022,1094.0
MAŁOPOLSKIE,2023,828.0
MAŁOPOLSKIE,2024,755.0
ŚLĄSKIE,1996,91525.0
ŚLĄSKIE,1997,74055.0
ŚLĄSKIE,1998,54898.0
ŚLĄSKIE,1999,42763.0
ŚLĄSKIE,2000,38504.0
ŚLĄSKIE,2001,32805.0
ŚLĄSKIE,2002,30527.0
ŚLĄSKIE,2003,28899.0
ŚLĄSKIE,2004,26506.0
ŚLĄSKIE,2005,22433.0
ŚLĄSKIE,2006,20057.0
ŚLĄSKIE,2007,21804.0
ŚLĄSKIE,2008,14124.0
ŚLĄSKIE,2009,11696.0
ŚLĄSKIE,2010,13371.0
ŚLĄSKIE,2011,12734.0
ŚLĄSKIE,2012,10564.0
ŚLĄSKIE,2013,10601.0
ŚLĄSKIE,2014,10263.0
ŚLĄSKIE,2015,10183.0
ŚLĄSKIE,2016,9113.0
ŚLĄSKIE,2017,8597.0
ŚLĄSKIE,2018,7874.0
ŚLĄSKIE,2019,5566.0
ŚLĄSKIE,2020,4392.0
ŚLĄSKIE,2021,4267.0
ŚLĄSKIE,2022,3537.0
ŚLĄSKIE,2023,3051.0
ŚLĄSKIE,2024,3101.0
LUBUSKIE,1996,15438.0
LUBUSKIE,1997,12640.0
LUBUSKIE,1998,10602.0
LUBUSKIE,1999,6449.0
LUBUSKIE,2000,4798.0
LUBUSKIE,2001,4491.0
LUBUSKIE,2002,4390.0
LUBUSKIE,2003,3198.0
LUBUSKIE,2004,3147.0
LUBUSKIE,2005,2751.0
LUBUSKIE,2006,2482.0
LUBUSKIE,2007,1587.0
LUBUSKIE,2008,1353.0
LUBUSKIE,2009,1382.0
LUBUSKIE,2010,1389.0
LUBUSKIE,2011,1261.0
LUBUSKIE,2012,1162.0
LUBUSKIE,2013,1110.0
LUBUSKIE,2014,1020.0
LUBUSKIE,2015,883.0
LUBUSKIE,2016,928.0
LUBUSKIE,2017,870.0
LUBUSKIE,2018,828.0
LUBUSKIE,2019,742.0
LUBUSKIE,2020,558.0
LUBUSKIE,2021,611.0
LUBUSKIE,2022,504.0
LUBUSKIE,2023,372.0
LUBUSKIE,2024,877.0
WIELKOPOLSKIE,1996,34800.0
WIELKOPOLSKIE,1997,28471.0
WIELKOPOLSKIE,1998,20472.0
WIELKOPOLSKIE,1999,15347.0
WIELKOPOLSKIE,2000,13203.0
WIELKOPOLSKIE,2001,12433.0
WIELKOPOLSKIE,2002,10884.0
WIELKOPOLSKIE,2003,12389.0
WIELKOPOLSKIE,2004,10309.0
WIELKOPOLSKIE,2005,9662.0
WIELKOPOLSKIE,2006,10266.0
WIELKOPOLSKIE,2007,7023.0
WIELKOPOLSKIE,2008,6594.0
WIELKOPOLSKIE,2009,4720.0
WIELKOPOLSKIE,2010,5612.0
WIELKOPOLSKIE,2011,5187.0
WIELKOPOLSKIE,2012,4642.0
WIELKOPOLSKIE,2013,4478.0
WIELKOPOLSKIE,2014,4655.0
WIELKOPOLSKIE,2015,4886.0
WIELKOPOLSKIE,2016,4904.0
WIELKOPOLSKIE,2017,3965.0
WIELKOPOLSKIE,2018,2112.0
WIELKOPOLSKIE,2019,1929.0
WIELKOPOLSKIE,2020,1715.0
WIELKOPOLSKIE,2021,1453.0
WIELKOPOLSKIE,2022,1353.0
WIELKOPOLSKIE,2023,990.0
WIELKOPOLSKIE,2024,950.0
ZACHODNIOPOMORSKIE,1996,10939.0
ZACHODNIOPOMORSKIE,1997,8992.0
ZACHODNIOPOMORSKIE,1998,8074.0
ZACHODNIOPOMORSKIE,1999,7587.0
ZACHODNIOPOMORSKIE,2000,7742.0
ZACHODNIOPOMORSKIE,2001,7080.0
ZACHODNIOPOMORSKIE,2002,5865.0
ZACHODNIOPOMORSKIE,2003,5094.0
ZACHODNIOPOMORSKIE,2004,5655.0
ZACHODNIOPOMORSKIE,2005,5652.0
ZACHODNIOPOMORSKIE,2006,5622.0
ZACHODNIOPOMORSKIE,2007,5681.0
ZACHODNIOPOMORSKIE,2008,5061.0
ZACHODNIOPOMORSKIE,2009,3748.0
ZACHODNIOPOMORSKIE,2010,3300.0
ZACHODNIOPOMORSKIE,2011,2882.0
ZACHODNIOPOMORSKIE,2012,2599.0
ZACHODNIOPOMORSKIE,2013,2578.0
ZACHODNIOPOMORSKIE,2014,2602.0
ZACHODNIOPOMORSKIE,2015,2347.0
ZACHODNIOPOMORSKIE,2016,2447.0
ZACHODNIOPOMORSKIE,2017,2284.0
ZACHODNIOPOMORSKIE,2018,2185.0
ZACHODNIOPOMORSKIE,2019,1866.0
ZACHODNIOPOMORSKIE,2020,1652.0
ZACHODNIOPOMORSKIE,2021,1474.0
ZACHODNIOPOMORSKIE,2022,1304.0
ZACHODNIOPOMORSKIE,2023,1059.0
ZACHODNIOPOMORSKIE,2024,975.0
DOLNOŚLĄSKIE,1996,40785.0
DOLNOŚLĄSKIE,1997,33117.0
DOLNOŚLĄSKIE,1998,25665.0
DOLNOŚLĄSKIE,1999,20245.0
DOLNOŚLĄSKIE,2000,20647.0
DOLNOŚLĄSKIE,2001,20239.0
DOLNOŚLĄSKIE,2002,14165.0
DOLNOŚLĄSKIE,2003,12811.0
DOLNOŚLĄSKIE,2004,8618.0
DOLNOŚLĄSKIE,2005,7957.0
DOLNOŚLĄSKIE,2006,7409.0
DOLNOŚLĄSKIE,2007,6680.0
DOLNOŚLĄSKIE,2008,6350.0
DOLNOŚLĄSKIE,2009,5167.0
DOLNOŚLĄSKIE,2010,5217.0
DOLNOŚLĄSKIE,2011,4105.0
DOLNOŚLĄSKIE,2012,4008.0
DOLNOŚLĄSKIE,2013,3712.0
DOLNOŚLĄSKIE,2014,3284.0
DOLNOŚLĄSKIE,2015,2803.0
DOLNOŚLĄSKIE,2016,2436.0
DOLNOŚLĄSKIE,2017,1913.0
DOLNOŚLĄSKIE,2018,1744.0
DOLNOŚLĄSKIE,2019,1378.0
DOLNOŚLĄSKIE,2020,1297.0
DOLNOŚLĄSKIE,2021,1402.0
DOLNOŚLĄSKIE,2022,1331.0
DOLNOŚLĄSKIE,2023,962.0
DOLNOŚLĄSKIE,2024,841.0
OPOLSKIE,1996,15345.0
OPOLSKIE,1997,14251.0
OPOLSKIE,1998,12448.0
OPOLSKIE,1999,9949.0
OPOLSKIE,2000,7714.0
OPOLSKIE,2001,7431.0
OPOLSKIE,2002,5369.0
OPOLSKIE,2003,5025.0
OPOLSKIE,2004,4399.0
OPOLSKIE,2005,3821.0
OPOLSKIE,2006,3837.0
OPOLSKIE,2007,3891.0
OPOLSKIE,2008,3103.0
OPOLSKIE,2009,3064.0
OPOLSKIE,2010,2689.0
OPOLSKIE,2011,2463.0
OPOLSKIE,2012,2137.0
OPOLSKIE,2013,1900.0
OPOLSKIE,2014,1870.0
OPOLSKIE,2015,1526.0
OPOLSKIE,2016,1257.0
OPOLSKIE,2017,1109.0
OPOLSKIE,2018,1257.0
OPOLSKIE,2019,1230.0
OPOLSKIE,2020,1042.0
OPOLSKIE,2021,1203.0
OPOLSKIE,2022,1037.0
OPOLSKIE,2023,828.0
OPOLSKIE,2024,741.0
KUJAWSKO-POMORSKIE,1996,24295.0
KUJAWSKO-POMORSKIE,1997,18735.0
KUJAWSKO-POMORSKIE,1998,15090.0
KUJAWSKO-POMORSKIE,1999,13580.0
KUJAWSKO-POMORSKIE,2000,14226.0
KUJAWSKO-POMORSKIE,2001,12476.0
KUJAWSKO-POMORSKIE,2002,11069.0
KUJAWSKO-POMORSKIE,2003,8525.0
KUJAWSKO-POMORSKIE,2004,7723.0
KUJAWSKO-POMORSKIE,2005,7116.0
KUJAWSKO-POMORSKIE,2006,5490.0
KUJAWSKO-POMORSKIE,2007,5312.0
KUJAWSKO-POMORSKIE,2008,5188.0
KUJAWSKO-POMORSKIE,2009,4539.0
KUJAWSKO-POMORSKIE,2010,4326.0
KUJAWSKO-POMORSKIE,2011,4073.0
KUJAWSKO-POMORSKIE,2012,3886.0
KUJAWSKO-POMORSKIE,2013,3384.0
KUJAWSKO-POMORSKIE,2014,3752.0
KUJAWSKO-POMORSKIE,2015,2632.0
KUJAWSKO-POMORSKIE,2016,1982.0
KUJAWSKO-POMORSKIE,2017,1969.0
KUJAWSKO-POMORSKIE,2018,2087.0
KUJAWSKO-POMORSKIE,2019,2080.0
KUJAWSKO-POMORSKIE,2020,1782.0
KUJAWSKO-POMORSKIE,2021,1858.0
KUJAWSKO-POMORSKIE,2022,1835.0
KUJAWSKO-POMORSKIE,2023,1635.0
KUJAWSKO-POMORSKIE,2024,1399.0
POMORSKIE,1996,12183.0
POMORSKIE,1997,13035.0
POMORSKIE,1998,8637.0
POMORSKIE,1999,6687.0
POMORSKIE,2000,5415.0
POMORSKIE,2001,4952.0
POMORSKIE,2002,5152.0
POMORSKIE,2003,5242.0
POMORSKIE,2004,4346.0
POMORSKIE,2005,3539.0
POMORSKIE,2006,3467.0
POMORSKIE,2007,3457.0
POMORSKIE,2008,3300.0
POMORSKIE,2009,2619.0
POMORSKIE,2010,3357.0
POMORSKIE,2011,2778.0
POMORSKIE,2012,2777.0
POMORSKIE,2013,2375.0
POMORSKIE,2014,2213.0
POMORSKIE,2015,2268.0
POMORSKIE,2016,1864.0
POMORSKIE,2017,1521.0
POMORSKIE,2018,1020.0
POMORSKIE,2019,851.0
POMORSKIE,2020,676.0
POMORSKIE,2021,699.0
POMORSKIE,2022,612.0
POMORSKIE,2023,466.0
POMORSKIE,2024,416.0
WARMIŃSKO-MAZURSKIE,1996,4966.0
WARMIŃSKO-MAZURSKIE,1997,4796.0
WARMIŃSKO-MAZURSKIE,1998,6595.0
WARMIŃSKO-MAZURSKIE,1999,6650.0
WARMIŃSKO-MAZURSKIE,2000,2464.0
WARMIŃSKO-MAZURSKIE,2001,2233.0
WARMIŃSKO-MAZURSKIE,2002,1928.0
WARMIŃSKO-MAZURSKIE,2003,1797.0
WARMIŃSKO-MAZURSKIE,2004,1918.0
WARMIŃSKO-MAZURSKIE,2005,1919.0
WARMIŃSKO-MAZURSKIE,2006,1636.0
WARMIŃSKO-MAZURSKIE,2007,1352.0
WARMIŃSKO-MAZURSKIE,2008,1395.0
WARMIŃSKO-MAZURSKIE,2009,1454.0
WARMIŃSKO-MAZURSKIE,2010,1164.0
WARMIŃSKO-MAZURSKIE,2011,1176.0
WARMIŃSKO-MAZURSKIE,2012,1184.0
WARMIŃSKO-MAZURSKIE,2013,1059.0
WARMIŃSKO-MAZURSKIE,2014,951.0
WARMIŃSKO-MAZURSKIE,2015,1014.0
WARMIŃSKO-MAZURSKIE,2016,819.0
WARMIŃSKO-MAZURSKIE,2017,760.0
WARMIŃSKO-MAZURSKIE,2018,676.0
WARMIŃSKO-MAZURSKIE,2019,631.0
WARMIŃSKO-MAZURSKIE,2020,519.0
WARMIŃSKO-MAZURSKIE,2021,558.0
WARMIŃSKO-MAZURSKIE,2022,637.0
WARMIŃSKO-MAZURSKIE,2023,406.0
WARMIŃSKO-MAZURSKIE,2024,356.0
ŁÓDZKIE,1996,23887.0
ŁÓDZKIE,1997,17399.0
ŁÓDZKIE,1998,16220.0
ŁÓDZKIE,1999,15326.0
ŁÓDZKIE,2000,12094.0
ŁÓDZKIE,2001,10339.0
ŁÓDZKIE,2002,7066.0
ŁÓDZKIE,2003,7654.0
ŁÓDZKIE,2004,7423.0
ŁÓDZKIE,2005,7941.0
ŁÓDZKIE,2006,7219.0
ŁÓDZKIE,2007,7789.0
ŁÓDZKIE,2008,6833.0
ŁÓDZKIE,2009,4644.0
ŁÓDZKIE,2010,4217.0
ŁÓDZKIE,2011,3925.0
ŁÓDZKIE,2012,3451.0
ŁÓDZKIE,2013,3161.0
ŁÓDZKIE,2014,2750.0
ŁÓDZKIE,2015,2787.0
ŁÓDZKIE,2016,2259.0
ŁÓDZKIE,2017,2321.0
ŁÓDZKIE,2018,2500.0
ŁÓDZKIE,2019,1930.0
ŁÓDZKIE,2020,1629.0
ŁÓDZKIE,2021,1612.0
ŁÓDZKIE,2022,1546.0
ŁÓDZKIE,2023,1127.0
ŁÓDZKIE,2024,1077.0
ŚWIĘTOKRZYSKIE,1996,15963.0
ŚWIĘTOKRZYSKIE,1997,15396.0
ŚWIĘTOKRZYSKIE,1998,12033.0
ŚWIĘTOKRZYSKIE,1999,7902.0
ŚWIĘTOKRZYSKIE,2000,8776.0
ŚWIĘTOKRZYSKIE,2001,6230.0
ŚWIĘTOKRZYSKIE,2002,6313.0
ŚWIĘTOKRZYSKIE,2003,6585.0
ŚWIĘTOKRZYSKIE,2004,5885.0
ŚWIĘTOKRZYSKIE,2005,4495.0
ŚWIĘTOKRZYSKIE,2006,4066.0
ŚWIĘTOKRZYSKIE,2007,3881.0
ŚWIĘTOKRZYSKIE,2008,4016.0
ŚWIĘTOKRZYSKIE,2009,3222.0
ŚWIĘTOKRZYSKIE,2010,2844.0
ŚWIĘTOKRZYSKIE,2011,2749.0
ŚWIĘTOKRZYSKIE,2012,2711.0
ŚWIĘTOKRZYSKIE,2013,2423.0
ŚWIĘTOKRZYSKIE,2014,2192.0
ŚWIĘTOKRZYSKIE,2015,1949.0
ŚWIĘTOKRZYSKIE,2016,1869.0
ŚWIĘTOKRZYSKIE,2017,1763.0
ŚWIĘTOKRZYSKIE,2018,1803.0
ŚWIĘTOKRZYSKIE,2019,1790.0
ŚWIĘTOKRZYSKIE,2020,1369.0
ŚWIĘTOKRZYSKIE,2021,1310.0
ŚWIĘTOKRZYSKIE,2022,1155.0
ŚWIĘTOKRZYSKIE,2023,851.0
ŚWIĘTOKRZYSKIE,2024,830.0
LUBELSKIE,1996,19488.0
LUBELSKIE,1997,16232.0
LUBELSKIE,1998,13102.0
LUBELSKIE,1999,9581.0
LUBELSKIE,2000,8033.0
LUBELSKIE,2001,7196.0
LUBELSKIE,2002,7294.0
LUBELSKIE,2003,6878.0
LUBELSKIE,2004,6681.0
LUBELSKIE,2005,6732.0
LUBELSKIE,2006,5463.0
LUBELSKIE,2007,4743.0
LUBELSKIE,2008,3379.0
LUBELSKIE,2009,2978.0
LUBELSKIE,2010,2778.0
LUBELSKIE,2011,2439.0
LUBELSKIE,2012,2098.0
LUBELSKIE,2013,2053.0
LUBELSKIE,2014,1922.0
LUBELSKIE,2015,1975.0
LUBELSKIE,2016,1728.0
LUBELSKIE,2017,1711.0
LUBELSKIE,2018,1438.0
LUBELSKIE,2019,1327.0
LUBELSKIE,2020,1307.0
LUBELSKIE,2021,1179.0
LUBELSKIE,2022,1050.0
LUBELSKIE,2023,891.0
LUBELSKIE,2024,763.0
PODKARPACKIE,1996,10600.0
PODKARPACKIE,1997,9252.0
PODKARPACKIE,1998,7159.0
PODKARPACKIE,1999,5243.0
PODKARPACKIE,2000,4301.0
PODKARPACKIE,2001,4146.0
PODKARPACKIE,2002,3806.0
PODKARPACKIE,2003,3801.0
PODKARPACKIE,2004,3530.0
PODKARPACKIE,2005,3880.0
PODKARPACKIE,2006,3208.0
PODKARPACKIE,2007,2706.0
PODKARPACKIE,2008,2311.0
PODKARPACKIE,2009,1952.0
PODKARPACKIE,2010,2002.0
PODKARPACKIE,2011,1954.0
PODKARPACKIE,2012,1698.0
PODKARPACKIE,2013,1699.0
PODKARPACKIE,2014,1420.0
PODKARPACKIE,2015,1370.0
PODKARPACKIE,2016,1316.0
PODKARPACKIE,2017,1276.0
PODKARPACKIE,2018,1189.0
PODKARPACKIE,2019,1050.0
PODKARPACKIE,2020,869.0
PODKARPACKIE,2021,904.0
PODKARPACKIE,2022,899.0
PODKARPACKIE,2023,694.0
PODKARPACKIE,2024,661.0
PODLASKIE,1996,6389.0
PODLASKIE,1997,5412.0
PODLASKIE,1998,4050.0
PODLASKIE,1999,3057.0
PODLASKIE,2000,2016.0
PODLASKIE,2001,1969.0
PODLASKIE,2002,2020.0
PODLASKIE,2003,1972.0
PODLASKIE,2004,2176.0
PODLASKIE,2005,2004.0
PODLASKIE,2006,1740.0
PODLASKIE,2007,1748.0
PODLASKIE,2008,1324.0
PODLASKIE,2009,1146.0
PODLASKIE,2010,1096.0
PODLASKIE,2011,977.0
PODLASKIE,2012,919.0
PODLASKIE,2013,874.0
PODLASKIE,2014,934.0
PODLASKIE,2015,921.0
PODLASKIE,2016,815.0
PODLASKIE,2017,701.0
PODLASKIE,2018,691.0
PODLASKIE,2019,661.0
PODLASKIE,2020,503.0
PODLASKIE,2021,491.0
PODLASKIE,2022,436.0
PODLASKIE,2023,357.0
PODLASKIE,2024,346.0
MAZOWIECKIE,1996,27612.0
MAZOWIECKIE,1997,22220.0
