Region,Year,Value
MAŁOPOLSKIE,2005,48.3
MAŁOPOLSKIE,2006,49.0
MAŁOPOLSKIE,2007,49.9
MAŁOPOLSKIE,2008,50.0
MAŁOPOLSKIE,2009,49.5
MAŁOPOLSKIE,2010,49.2
MAŁOPOLSKIE,2011,49.7
MAŁOPOLSKIE,2012,50.2
MAŁOPOLSKIE,2013,50.2
MAŁOPOLSKIE,2014,51.7
MAŁOPOLSKIE,2015,52.3
MAŁOPOLSKIE,2016,54.4
MAŁOPOLSKIE,2017,53.7
MAŁOPOLSKIE,2018,52.7
MAŁOPOLSKIE,2019,54.5
MAŁOPOLSKIE,2020,56.9
ŚLĄSKIE,2005,43.3
ŚLĄSKIE,2006,45.2
ŚLĄSKIE,2007,47.2
ŚLĄSKIE,2008,48.6
ŚLĄSKIE,2009,48.7
ŚLĄSKIE,2010,47.9
ŚLĄSKIE,2011,48.7
ŚLĄSKIE,2012,48.2
ŚLĄSKIE,2013,48.7
ŚLĄSKIE,2014,50.4
ŚLĄSKIE,2015,50.6
ŚLĄSKIE,2016,51.2
ŚLĄSKIE,2017,51.2
ŚLĄSKIE,2018,50.8
ŚLĄSKIE,2019,51.1
ŚLĄSKIE,2020,51.9
LUBUSKIE,2005,46.9
LUBUSKIE,2006,47.5
LUBUSKIE,2007,48.5
LUBUSKIE,2008,48.8
LUBUSKIE,2009,50.3
LUBUSKIE,2010,50.6
LUBUSKIE,2011,49.8
LUBUSKIE,2012,49.0
LUBUSKIE,2013,49.2
LUBUSKIE,2014,50.9
LUBUSKIE,2015,50.9
LUBUSKIE,2016,53.0
LUBUSKIE,2017,53.4
LUBUSKIE,2018,53.2
LUBUSKIE,2019,53.2
LUBUSKIE,2020,53.6
WIELKOPOLSKIE,2005,47.6
WIELKOPOLSKIE,2006,49.5
WIELKOPOLSKIE,2007,50.3
WIELKOPOLSKIE,2008,51.6
WIELKOPOLSKIE,2009,51.4
WIELKOPOLSKIE,2010,52.7
WIELKOPOLSKIE,2011,52.2
WIELKOPOLSKIE,2012,52.8
WIELKOPOLSKIE,2013,53.4
WIELKOPOLSKIE,2014,53.2
WIELKOPOLSKIE,2015,54.8
WIELKOPOLSKIE,2016,55.2
WIELKOPOLSKIE,2017,55.2
WIELKOPOLSKIE,2018,57.0
WIELKOPOLSKIE,2019,56.9
WIELKOPOLSKIE,2020,56.2
ZACHODNIOPOMORSKIE,2005,42.8
ZACHODNIOPOMORSKIE,2006,43.2
ZACHODNIOPOMORSKIE,2007,43.7
ZACHODNIOPOMORSKIE,2008,45.7
ZACHODNIOPOMORSKIE,2009,45.2
ZACHODNIOPOMORSKIE,2010,46.3
ZACHODNIOPOMORSKIE,2011,45.0
ZACHODNIOPOMORSKIE,2012,46.6
ZACHODNIOPOMORSKIE,2013,48.7
ZACHODNIOPOMORSKIE,2014,48.9
ZACHODNIOPOMORSKIE,2015,48.4
ZACHODNIOPOMORSKIE,2016,49.4
ZACHODNIOPOMORSKIE,2017,52.2
ZACHODNIOPOMORSKIE,2018,53.5
ZACHODNIOPOMORSKIE,2019,51.7
ZACHODNIOPOMORSKIE,2020,52.3
DOLNOŚLĄSKIE,2005,43.1
DOLNOŚLĄSKIE,2006,46.2
DOLNOŚLĄSKIE,2007,46.7
DOLNOŚLĄSKIE,2008,48.0
DOLNOŚLĄSKIE,2009,49.8
DOLNOŚLĄSKIE,2010,48.6
DOLNOŚLĄSKIE,2011,47.6
DOLNOŚLĄSKIE,2012,48.4
DOLNOŚLĄSKIE,2013,49.0
DOLNOŚLĄSKIE,2014,49.1
DOLNOŚLĄSKIE,2015,51.8
DOLNOŚLĄSKIE,2016,54.2
DOLNOŚLĄSKIE,2017,54.4
DOLNOŚLĄSKIE,2018,55.2
DOLNOŚLĄSKIE,2019,55.2
DOLNOŚLĄSKIE,2020,55.3
OPOLSKIE,2005,45.6
OPOLSKIE,2006,45.1
OPOLSKIE,2007,45.5
OPOLSKIE,2008,48.3
OPOLSKIE,2009,49.5
OPOLSKIE,2010,48.2
OPOLSKIE,2011,48.7
OPOLSKIE,2012,48.8
OPOLSKIE,2013,49.2
OPOLSKIE,2014,50.7
OPOLSKIE,2015,51.4
OPOLSKIE,2016,53.1
OPOLSKIE,2017,54.3
OPOLSKIE,2018,54.0
OPOLSKIE,2019,52.5
OPOLSKIE,2020,54.1
KUJAWSKO-POMORSKIE,2005,44.3
KUJAWSKO-POMORSKIE,2006,45.6
KUJAWSKO-POMORSKIE,2007,47.5
KUJAWSKO-POMORSKIE,2008,49.7
KUJAWSKO-POMORSKIE,2009,49.1
KUJAWSKO-POMORSKIE,2010,48.1
KUJAWSKO-POMORSKIE,2011,48.5
KUJAWSKO-POMORSKIE,2012,49.7
KUJAWSKO-POMORSKIE,2013,48.2
KUJAWSKO-POMORSKIE,2014,50.0
KUJAWSKO-POMORSKIE,2015,51.3
KUJAWSKO-POMORSKIE,2016,50.8
KUJAWSKO-POMORSKIE,2017,51.6
KUJAWSKO-POMORSKIE,2018,52.0
KUJAWSKO-POMORSKIE,2019,52.5
KUJAWSKO-POMORSKIE,2020,53.9
POMORSKIE,2005,45.4
POMORSKIE,2006,47.9
POMORSKIE,2007,48.4
POMORSKIE,2008,51.9
POMORSKIE,2009,49.3
POMORSKIE,2010,51.0
POMORSKIE,2011,50.2
POMORSKIE,2012,51.0
POMORSKIE,2013,51.4
POMORSKIE,2014,51.8
POMORSKIE,2015,54.2
POMORSKIE,2016,54.7
POMORSKIE,2017,55.5
POMORSKIE,2018,56.4
POMORSKIE,2019,57.6
POMORSKIE,2020,56.8
WARMIŃSKO-MAZURSKIE,2005,42.8
WARMIŃSKO-MAZURSKIE,2006,44.1
WARMIŃSKO-MAZURSKIE,2007,46.3
WARMIŃSKO-MAZURSKIE,2008,48.3
WARMIŃSKO-MAZURSKIE,2009,48.2
WARMIŃSKO-MAZURSKIE,2010,48.0
WARMIŃSKO-MAZURSKIE,2011,46.8
WARMIŃSKO-MAZURSKIE,2012,46.0
WARMIŃSKO-MAZURSKIE,2013,46.9
WARMIŃSKO-MAZURSKIE,2014,47.5
WARMIŃSKO-MAZURSKIE,2015,48.5
WARMIŃSKO-MAZURSKIE,2016,49.2
WARMIŃSKO-MAZURSKIE,2017,49.9
WARMIŃSKO-MAZURSKIE,2018,49.2
WARMIŃSKO-MAZURSKIE,2019,51.4
WARMIŃSKO-MAZURSKIE,2020,53.0
ŁÓDZKIE,2005,45.3
ŁÓDZKIE,2006,49.0
ŁÓDZKIE,2007,51.7
ŁÓDZKIE,2008,52.3
ŁÓDZKIE,2009,51.4
ŁÓDZKIE,2010,52.1
ŁÓDZKIE,2011,51.6
ŁÓDZKIE,2012,50.9
ŁÓDZKIE,2013,52.2
ŁÓDZKIE,2014,52.8
ŁÓDZKIE,2015,53.1
ŁÓDZKIE,2016,54.3
ŁÓDZKIE,2017,55.8
ŁÓDZKIE,2018,55.2
ŁÓDZKIE,2019,54.7
ŁÓDZKIE,2020,55.2
ŚWIĘTOKRZYSKIE,2005,44.1
ŚWIĘTOKRZYSKIE,2006,46.8
ŚWIĘTOKRZYSKIE,2007,51.6
ŚWIĘTOKRZYSKIE,2008,51.6
ŚWIĘTOKRZYSKIE,2009,51.0
ŚWIĘTOKRZYSKIE,2010,50.4
ŚWIĘTOKRZYSKIE,2011,49.6
ŚWIĘTOKRZYSKIE,2012,49.3
ŚWIĘTOKRZYSKIE,2013,49.5
ŚWIĘTOKRZYSKIE,2014,50.6
ŚWIĘTOKRZYSKIE,2015,52.0
