Region,Year,Value
MAŁOPOLSKIE,2009,139.0
MAŁOPOLSKIE,2010,130.0
MAŁOPOLSKIE,2011,228.0
MAŁOPOLSKIE,2012,308.0
MAŁOPOLSKIE,2013,140.0
MAŁOPOLSKIE,2014,120.0
MAŁOPOLSKIE,2015,348.0
MAŁOPOLSKIE,2016,97.0
MAŁOPOLSKIE,2017,116.0
MAŁOPOLSKIE,2018,236.0
MAŁOPOLSKIE,2019,190.0
MAŁOPOLSKIE,2020,176.0
MAŁOPOLSKIE,2021,129.0
MAŁOPOLSKIE,2022,179.0
MAŁOPOLSKIE,2023,58.0
MAŁOPOLSKIE,2024,140.0
ŚLĄSKIE,2009,819.0
ŚLĄSKIE,2010,356.0
ŚLĄSKIE,2011,718.0
ŚLĄSKIE,2012,848.0
ŚLĄSKIE,2013,342.0
ŚLĄSKIE,2014,374.0
ŚLĄSKIE,2015,832.0
ŚLĄSKIE,2016,410.0
ŚLĄSKIE,2017,279.0
ŚLĄSKIE,2018,549.0
ŚLĄSKIE,2019,511.0
ŚLĄSKIE,2020,328.0
ŚLĄSKIE,2021,139.0
ŚLĄSKIE,2022,294.0
ŚLĄSKIE,2023,139.0
ŚLĄSKIE,2024,269.0
LUBUSKIE,2009,666.0
LUBUSKIE,2010,484.0
LUBUSKIE,2011,670.0
LUBUSKIE,2012,563.0
LUBUSKIE,2013,383.0
LUBUSKIE,2014,295.0
LUBUSKIE,2015,645.0
LUBUSKIE,2016,278.0
LUBUSKIE,2017,173.0
LUBUSKIE,2018,703.0
LUBUSKIE,2019,583.0
LUBUSKIE,2020,568.0
LUBUSKIE,2021,223.0
LUBUSKIE,2022,668.0
LUBUSKIE,2023,297.0
LUBUSKIE,2024,351.0
WIELKOPOLSKIE,2009,632.0
WIELKOPOLSKIE,2010,379.0
WIELKOPOLSKIE,2011,810.0
WIELKOPOLSKIE,2012,566.0
WIELKOPOLSKIE,2013,286.0
WIELKOPOLSKIE,2014,398.0
WIELKOPOLSKIE,2015,837.0
WIELKOPOLSKIE,2016,442.0
WIELKOPOLSKIE,2017,186.0
WIELKOPOLSKIE,2018,679.0
WIELKOPOLSKIE,2019,753.0
WIELKOPOLSKIE,2020,463.0
WIELKOPOLSKIE,2021,315.0
WIELKOPOLSKIE,2022,618.0
WIELKOPOLSKIE,2023,412.0
WIELKOPOLSKIE,2024,397.0
ZACHODNIOPOMORSKIE,2009,260.0
ZACHODNIOPOMORSKIE,2010,235.0
ZACHODNIOPOMORSKIE,2011,435.0
ZACHODNIOPOMORSKIE,2012,296.0
ZACHODNIOPOMORSKIE,2013,229.0
ZACHODNIOPOMORSKIE,2014,247.0
ZACHODNIOPOMORSKIE,2015,346.0
ZACHODNIOPOMORSKIE,2016,259.0
ZACHODNIOPOMORSKIE,2017,67.0
ZACHODNIOPOMORSKIE,2018,485.0
ZACHODNIOPOMORSKIE,2019,512.0
ZACHODNIOPOMORSKIE,2020,330.0
ZACHODNIOPOMORSKIE,2021,263.0
ZACHODNIOPOMORSKIE,2022,408.0
ZACHODNIOPOMORSKIE,2023,321.0
ZACHODNIOPOMORSKIE,2024,216.0
