Region,Year,Value
MAŁOPOLSKIE,2010,44.8
MAŁOPOLSKIE,2011,45.4
MAŁOPOLSKIE,2012,45.5
MAŁOPOLSKIE,2013,46.1
MAŁOPOLSKIE,2014,47.5
MAŁOPOLSKIE,2015,48.6
MAŁOPOLSKIE,2016,50.4
MAŁOPOLSKIE,2017,51.3
MAŁOPOLSKIE,2018,52.3
MAŁOPOLSKIE,2019,53.5
MAŁOPOLSKIE,2020,53.5
MAŁOPOLSKIE,2021,55.4
MAŁOPOLSKIE,2022,55.6
MAŁOPOLSKIE,2023,56.2
MAŁOPOLSKIE,2024,56.9
ŚLĄSKIE,2010,47.4
ŚLĄSKIE,2011,48.3
ŚLĄSKIE,2012,48.4
ŚLĄSKIE,2013,48.4
ŚLĄSKIE,2014,49.2
ŚLĄSKIE,2015,49.3
ŚLĄSKIE,2016,50.6
ŚLĄSKIE,2017,51.6
ŚLĄSKIE,2018,51.7
ŚLĄSKIE,2019,52.2
ŚLĄSKIE,2020,51.9
ŚLĄSKIE,2021,54.1
ŚLĄSKIE,2022,54.7
ŚLĄSKIE,2023,55.2
ŚLĄSKIE,2024,54.6
LUBUSKIE,2010,49.4
LUBUSKIE,2011,49.3
LUBUSKIE,2012,48.4
LUBUSKIE,2013,48.7
LUBUSKIE,2014,49.3
LUBUSKIE,2015,51.0
LUBUSKIE,2016,53.1
LUBUSKIE,2017,53.7
LUBUSKIE,2018,53.7
LUBUSKIE,2019,54.5
LUBUSKIE,2020,54.5
LUBUSKIE,2021,54.9
LUBUSKIE,2022,55.8
LUBUSKIE,2023,56.7
LUBUSKIE,2024,55.6
WIELKOPOLSKIE,2010,51.9
WIELKOPOLSKIE,2011,51.8
WIELKOPOLSKIE,2012,52.0
WIELKOPOLSKIE,2013,52.4
WIELKOPOLSKIE,2014,53.0
WIELKOPOLSKIE,2015,54.1
WIELKOPOLSKIE,2016,55.2
WIELKOPOLSKIE,2017,57.2
WIELKOPOLSKIE,2018,57.7
WIELKOPOLSKIE,2019,57.5
WIELKOPOLSKIE,2020,56.9
WIELKOPOLSKIE,2021,59.5
WIELKOPOLSKIE,2022,59.3
WIELKOPOLSKIE,2023,58.8
WIELKOPOLSKIE,2024,58.5
ZACHODNIOPOMORSKIE,2010,45.6
ZACHODNIOPOMORSKIE,2011,45.2
ZACHODNIOPOMORSKIE,2012,46.1
ZACHODNIOPOMORSKIE,2013,47.0
ZACHODNIOPOMORSKIE,2014,48.2
ZACHODNIOPOMORSKIE,2015,48.2
ZACHODNIOPOMORSKIE,2016,49.8
ZACHODNIOPOMORSKIE,2017,51.2
ZACHODNIOPOMORSKIE,2018,52.9
ZACHODNIOPOMORSKIE,2019,53.0
ZACHODNIOPOMORSKIE,2020,53.2
ZACHODNIOPOMORSKIE,2021,54.0
ZACHODNIOPOMORSKIE,2022,55.5
ZACHODNIOPOMORSKIE,2023,56.0
ZACHODNIOPOMORSKIE,2024,55.5
DOLNOŚLĄSKIE,2010,47.8
DOLNOŚLĄSKIE,2011,47.6
DOLNOŚLĄSKIE,2012,47.8
DOLNOŚLĄSKIE,2013,47.9
DOLNOŚLĄSKIE,2014,50.2
DOLNOŚLĄSKIE,2015,51.6
DOLNOŚLĄSKIE,2016,53.7
DOLNOŚLĄSKIE,2017,53.8
DOLNOŚLĄSKIE,2018,54.6
DOLNOŚLĄSKIE,2019,56.6
DOLNOŚLĄSKIE,2020,56.4
DOLNOŚLĄSKIE,2021,57.0
DOLNOŚLĄSKIE,2022,57.2
DOLNOŚLĄSKIE,2023,58.2
DOLNOŚLĄSKIE,2024,58.2
OPOLSKIE,2010,47.5
OPOLSKIE,2011,48.0
OPOLSKIE,2012,48.8
OPOLSKIE,2013,48.3
OPOLSKIE,2014,49.6
OPOLSKIE,2015,50.7
OPOLSKIE,2016,52.0
OPOLSKIE,2017,53.5
OPOLSKIE,2018,54.3
OPOLSKIE,2019,54.1
OPOLSKIE,2020,54.4
OPOLSKIE,2021,57.2
OPOLSKIE,2022,56.1
OPOLSKIE,2023,55.9
OPOLSKIE,2024,56.2
KUJAWSKO-POMORSKIE,2010,48.0
KUJAWSKO-POMORSKIE,2011,47.7
KUJAWSKO-POMORSKIE,2012,49.0
KUJAWSKO-POMORSKIE,2013,48.3
KUJAWSKO-POMORSKIE,2014,49.0
KUJAWSKO-POMORSKIE,2015,50.7
KUJAWSKO-POMORSKIE,2016,51.3
KUJAWSKO-POMORSKIE,2017,51.9
KUJAWSKO-POMORSKIE,2018,52.9
KUJAWSKO-POMORSKIE,2019,53.5
KUJAWSKO-POMORSKIE,2020,53.7
KUJAWSKO-POMORSKIE,2021,55.1
KUJAWSKO-POMORSKIE,2022,56.1
KUJAWSKO-POMORSKIE,2023,55.9
KUJAWSKO-POMORSKIE,2024,56.2
POMORSKIE,2010,49.7
POMORSKIE,2011,49.3
POMORSKIE,2012,49.9
POMORSKIE,2013,50.3
POMORSKIE,2014,50.8
POMORSKIE,2015,53.6
POMORSKIE,2016,54.6
POMORSKIE,2017,56.0
POMORSKIE,2018,56.3
POMORSKIE,2019,58.1
POMORSKIE,2020,57.4
POMORSKIE,2021,58.7
POMORSKIE,2022,59.3
POMORSKIE,2023,59.4
POMORSKIE,2024,59.2
WARMIŃSKO-MAZURSKIE,2010,47.6
WARMIŃSKO-MAZURSKIE,2011,46.4
WARMIŃSKO-MAZURSKIE,2012,45.2
WARMIŃSKO-MAZURSKIE,2013,45.4
WARMIŃSKO-MAZURSKIE,2014,45.8
WARMIŃSKO-MAZURSKIE,2015,47.0
WARMIŃSKO-MAZURSKIE,2016,48.7
WARMIŃSKO-MAZURSKIE,2017,50.0
WARMIŃSKO-MAZURSKIE,2018,50.0
WARMIŃSKO-MAZURSKIE,2019,50.7
WARMIŃSKO-MAZURSKIE,2020,51.3
WARMIŃSKO-MAZURSKIE,2021,53.5
WARMIŃSKO-MAZURSKIE,2022,53.7
WARMIŃSKO-MAZURSKIE,2023,53.8
WARMIŃSKO-MAZURSKIE,2024,53.6
ŁÓDZKIE,2010,49.4
ŁÓDZKIE,2011,50.1
ŁÓDZKIE,2012,48.9
ŁÓDZKIE,2013,49.8
ŁÓDZKIE,2014,51.9
ŁÓDZKIE,2015,51.8
ŁÓDZKIE,2016,53.0
ŁÓDZKIE,2017,54.6
ŁÓDZKIE,2018,54.8
ŁÓDZKIE,2019,53.3
ŁÓDZKIE,2020,54.3
ŁÓDZKIE,2021,55.3
ŁÓDZKIE,2022,57.1
ŁÓDZKIE,2023,56.1
ŁÓDZKIE,2024,55.0
ŚWIĘTOKRZYSKIE,2010,46.3
ŚWIĘTOKRZYSKIE,2011,46.2
ŚWIĘTOKRZYSKIE,2012,46.6
ŚWIĘTOKRZYSKIE,2013,45.5
ŚWIĘTOKRZYSKIE,2014,46.1
ŚWIĘTOKRZYSKIE,2015,47.7
ŚWIĘTOKRZYSKIE,2016,48.5
ŚWIĘTOKRZYSKIE,2017,49.3
