Region,Year,Value
MAŁOPOLSKIE,2009,4.0
MAŁOPOLSKIE,2010,8.0
MAŁOPOLSKIE,2011,1.0
MAŁOPOLSKIE,2012,3.0
MAŁOPOLSKIE,2013,11.0
MAŁOPOLSKIE,2014,22.0
MAŁOPOLSKIE,2015,4.0
MAŁOPOLSKIE,2016,22.0
MAŁOPOLSKIE,2017,16.0
MAŁOPOLSKIE,2018,9.0
MAŁOPOLSKIE,2019,27.0
MAŁOPOLSKIE,2020,18.0
MAŁOPOLSKIE,2021,7.0
MAŁOPOLSKIE,2022,4.0
MAŁOPOLSKIE,2023,1.0
MAŁOPOLSKIE,2024,4.0
ŚLĄSKIE,2009,0.0
ŚLĄSKIE,2010,0.0
ŚLĄSKIE,2011,4.0
ŚLĄSKIE,2012,12.0
ŚLĄSKIE,2013,20.0
ŚLĄSKIE,2014,12.0
ŚLĄSKIE,2015,0.0
ŚLĄSKIE,2016,1.0
ŚLĄSKIE,2017,8.0
ŚLĄSKIE,2018,23.0
ŚLĄSKIE,2019,27.0
ŚLĄSKIE,2020,27.0
ŚLĄSKIE,2021,25.0
ŚLĄSKIE,2022,38.0
ŚLĄSKIE,2023,62.0
ŚLĄSKIE,2024,23.0
LUBUSKIE,2009,375.0
LUBUSKIE,2010,233.0
LUBUSKIE,2011,307.0
LUBUSKIE,2012,637.0
LUBUSKIE,2013,482.0
LUBUSKIE,2014,565.0
LUBUSKIE,2015,137.0
LUBUSKIE,2016,456.0
LUBUSKIE,2017,879.0
LUBUSKIE,2018,654.0
LUBUSKIE,2019,1503.0
LUBUSKIE,2020,531.0
LUBUSKIE,2021,630.0
LUBUSKIE,2022,1161.0
LUBUSKIE,2023,1007.0
LUBUSKIE,2024,989.0
WIELKOPOLSKIE,2009,1127.0
WIELKOPOLSKIE,2010,1068.0
WIELKOPOLSKIE,2011,1360.0
WIELKOPOLSKIE,2012,2808.0
WIELKOPOLSKIE,2013,1900.0
WIELKOPOLSKIE,2014,2168.0
WIELKOPOLSKIE,2015,640.0
WIELKOPOLSKIE,2016,1961.0
WIELKOPOLSKIE,2017,3264.0
WIELKOPOLSKIE,2018,1045.0
WIELKOPOLSKIE,2019,1064.0
WIELKOPOLSKIE,2020,549.0
WIELKOPOLSKIE,2021,509.0
WIELKOPOLSKIE,2022,991.0
WIELKOPOLSKIE,2023,712.0
WIELKOPOLSKIE,2024,1126.0
ZACHODNIOPOMORSKIE,2009,363.0
ZACHODNIOPOMORSKIE,2010,173.0
ZACHODNIOPOMORSKIE,2011,172.0
ZACHODNIOPOMORSKIE,2012,160.0
ZACHODNIOPOMORSKIE,2013,239.0
ZACHODNIOPOMORSKIE,2014,46.0
ZACHODNIOPOMORSKIE,2015,537.0
ZACHODNIOPOMORSKIE,2016,101.0
ZACHODNIOPOMORSKIE,2017,186.0
ZACHODNIOPOMORSKIE,2018,108.0
ZACHODNIOPOMORSKIE,2019,163.0
ZACHODNIOPOMORSKIE,2020,68.0
ZACHODNIOPOMORSKIE,2021,93.0
ZACHODNIOPOMORSKIE,2022,103.0
ZACHODNIOPOMORSKIE,2023,48.0
ZACHODNIOPOMORSKIE,2024,19.0
DOLNOŚLĄSKIE,2009,49.0
DOLNOŚLĄSKIE,2010,84.0
DOLNOŚLĄSKIE,2011,46.0
DOLNOŚLĄSKIE,2012,68.0
DOLNOŚLĄSKIE,2013,85.0
DOLNOŚLĄSKIE,2014,33.0
DOLNOŚLĄSKIE,2015,42.0
DOLNOŚLĄSKIE,2016,95.0
DOLNOŚLĄSKIE,2017,105.0
DOLNOŚLĄSKIE,2018,345.0
DOLNOŚLĄSKIE,2019,61.0
DOLNOŚLĄSKIE,2020,107.0
DOLNOŚLĄSKIE,2021,0.0
DOLNOŚLĄSKIE,2022,182.0
DOLNOŚLĄSKIE,2023,25.0
DOLNOŚLĄSKIE,2024,44.0
OPOLSKIE,2009,0.0
OPOLSKIE,2010,0.0
OPOLSKIE,2011,0.0
OPOLSKIE,2012,0.0
OPOLSKIE,2013,0.0
OPOLSKIE,2014,0.0
OPOLSKIE,2015,0.0
OPOLSKIE,2016,0.0
OPOLSKIE,2017,0.0
OPOLSKIE,2018,0.0
OPOLSKIE,2019,0.0
OPOLSKIE,2020,0.0
OPOLSKIE,2021,0.0
OPOLSKIE,2022,0.0
OPOLSKIE,2023,0.0
OPOLSKIE,2024,0.0
KUJAWSKO-POMORSKIE,2009,82.0
KUJAWSKO-POMORSKIE,2010,69.0
KUJAWSKO-POMORSKIE,2011,93.0
KUJAWSKO-POMORSKIE,2012,47.0
KUJAWSKO-POMORSKIE,2013,66.0
KUJAWSKO-POMORSKIE,2014,30.0
KUJAWSKO-POMORSKIE,2015,19.0
KUJAWSKO-POMORSKIE,2016,24.0
KUJAWSKO-POMORSKIE,2017,53.0
KUJAWSKO-POMORSKIE,2018,10.0
KUJAWSKO-POMORSKIE,2019,34.0
KUJAWSKO-POMORSKIE,2020,31.0
KUJAWSKO-POMORSKIE,2021,0.0
KUJAWSKO-POMORSKIE,2022,0.0
KUJAWSKO-POMORSKIE,2023,4.0
KUJAWSKO-POMORSKIE,2024,1.0
POMORSKIE,2009,1065.0
POMORSKIE,2010,1227.0
POMORSKIE,2011,728.0
POMORSKIE,2012,1007.0
POMORSKIE,2013,590.0
POMORSKIE,2014,1122.0
POMORSKIE,2015,906.0
POMORSKIE,2016,1225.0
POMORSKIE,2017,1638.0
POMORSKIE,2018,555.0
POMORSKIE,2019,1523.0
POMORSKIE,2020,684.0
POMORSKIE,2021,459.0
POMORSKIE,2022,416.0
POMORSKIE,2023,503.0
POMORSKIE,2024,1046.0
WARMIŃSKO-MAZURSKIE,2009,145.0
WARMIŃSKO-MAZURSKIE,2010,393.0
WARMIŃSKO-MAZURSKIE,2011,403.0
WARMIŃSKO-MAZURSKIE,2012,493.0
WARMIŃSKO-MAZURSKIE,2013,75.0
WARMIŃSKO-MAZURSKIE,2014,54.0
WARMIŃSKO-MAZURSKIE,2015,41.0
WARMIŃSKO-MAZURSKIE,2016,303.0
WARMIŃSKO-MAZURSKIE,2017,441.0
WARMIŃSKO-MAZURSKIE,2018,122.0
WARMIŃSKO-MAZURSKIE,2019,734.0
WARMIŃSKO-MAZURSKIE,2020,181.0
WARMIŃSKO-MAZURSKIE,2021,107.0
WARMIŃSKO-MAZURSKIE,2022,137.0
WARMIŃSKO-MAZURSKIE,2023,107.0
WARMIŃSKO-MAZURSKIE,2024,93.0
ŁÓDZKIE,2009,193.0
ŁÓDZKIE,2010,234.0
ŁÓDZKIE,2011,155.0
ŁÓDZKIE,2012,114.0
ŁÓDZKIE,2013,137.0
ŁÓDZKIE,2014,106.0
ŁÓDZKIE,2015,93.0
ŁÓDZKIE,2016,150.0
ŁÓDZKIE,2017,108.0
ŁÓDZKIE,2018,213.0
ŁÓDZKIE,2019,31.0
ŁÓDZKIE,2020,38.0
ŁÓDZKIE,2021,96.0
ŁÓDZKIE,2022,63.0
ŁÓDZKIE,2023,55.0
ŁÓDZKIE,2024,129.0
ŚWIĘTOKRZYSKIE,2009,219.0
ŚWIĘTOKRZYSKIE,2010,137.0
ŚWIĘTOKRZYSKIE,2011,7.0
ŚWIĘTOKRZYSKIE,2012,3.0
ŚWIĘTOKRZYSKIE,2013,10.0
ŚWIĘTOKRZYSKIE,2014,27.0
ŚWIĘTOKRZYSKIE,2015,1.0
ŚWIĘTOKRZYSKIE,2016,0.0
ŚWIĘTOKRZYSKIE,2017,33.0
ŚWIĘTOKRZYSKIE,2018,3.0
ŚWIĘTOKRZYSKIE,2019,18.0
ŚWIĘTOKRZYSKIE,2020,5.0
ŚWIĘTOKRZYSKIE,2021,0.0
ŚWIĘTOKRZYSKIE,2022,0.0
ŚWIĘTOKRZYSKIE,2023,0.0
ŚWIĘTOKRZYSKIE,2024,13.0
LUBELSKIE,2009,15.0
LUBELSKIE,2010,0.0
LUBELSKIE,2011,0.0
LUBELSKIE,2012,59.0
LUBELSKIE,2013,134.0
