Region,Year,Value
MAŁOPOLSKIE,2009,50.0
MAŁOPOLSKIE,2010,78.1
MAŁOPOLSKIE,2011,19.5
MAŁOPOLSKIE,2012,31.9
MAŁOPOLSKIE,2013,148.3
MAŁOPOLSKIE,2014,249.0
MAŁOPOLSKIE,2015,57.3
MAŁOPOLSKIE,2016,469.0
MAŁOPOLSKIE,2017,196.7
MAŁOPOLSKIE,2018,101.0
MAŁOPOLSKIE,2019,231.9
MAŁOPOLSKIE,2020,198.6
MAŁOPOLSKIE,2021,95.0
MAŁOPOLSKIE,2022,42.9
MAŁOPOLSKIE,2023,17.0
MAŁOPOLSKIE,2024,34.4
ŚLĄSKIE,2009,0.0
ŚLĄSKIE,2010,0.0
ŚLĄSKIE,2011,40.5
ŚLĄSKIE,2012,118.3
ŚLĄSKIE,2013,229.9
ŚLĄSKIE,2014,102.9
ŚLĄSKIE,2015,2.6
ŚLĄSKIE,2016,40.9
ŚLĄSKIE,2017,87.3
ŚLĄSKIE,2018,445.6
ŚLĄSKIE,2019,279.1
ŚLĄSKIE,2020,252.3
ŚLĄSKIE,2021,335.3
ŚLĄSKIE,2022,1016.2
ŚLĄSKIE,2023,1428.6
ŚLĄSKIE,2024,497.8
LUBUSKIE,2009,3428.3
LUBUSKIE,2010,3145.6
LUBUSKIE,2011,4168.2
LUBUSKIE,2012,11416.7
LUBUSKIE,2013,7464.4
LUBUSKIE,2014,6329.0
LUBUSKIE,2015,2233.9
LUBUSKIE,2016,5916.8
LUBUSKIE,2017,10278.9
LUBUSKIE,2018,9731.1
LUBUSKIE,2019,26040.7
LUBUSKIE,2020,6740.3
LUBUSKIE,2021,13495.9
LUBUSKIE,2022,16866.0
LUBUSKIE,2023,16302.1
LUBUSKIE,2024,15803.9
WIELKOPOLSKIE,2009,13075.8
WIELKOPOLSKIE,2010,16241.5
WIELKOPOLSKIE,2011,19994.3
WIELKOPOLSKIE,2012,43219.1
WIELKOPOLSKIE,2013,24916.0
WIELKOPOLSKIE,2014,29387.0
WIELKOPOLSKIE,2015,11611.0
WIELKOPOLSKIE,2016,25039.1
WIELKOPOLSKIE,2017,31711.9
WIELKOPOLSKIE,2018,10731.5
WIELKOPOLSKIE,2019,12564.0
WIELKOPOLSKIE,2020,6238.6
WIELKOPOLSKIE,2021,9454.0
WIELKOPOLSKIE,2022,11613.4
WIELKOPOLSKIE,2023,9369.0
WIELKOPOLSKIE,2024,15587.2
ZACHODNIOPOMORSKIE,2009,3900.6
ZACHODNIOPOMORSKIE,2010,1661.1
ZACHODNIOPOMORSKIE,2011,1967.0
ZACHODNIOPOMORSKIE,2012,2250.3
ZACHODNIOPOMORSKIE,2013,3069.3
ZACHODNIOPOMORSKIE,2014,533.0
ZACHODNIOPOMORSKIE,2015,2387.7
ZACHODNIOPOMORSKIE,2016,835.3
ZACHODNIOPOMORSKIE,2017,2077.4
ZACHODNIOPOMORSKIE,2018,1488.4
ZACHODNIOPOMORSKIE,2019,2722.0
ZACHODNIOPOMORSKIE,2020,468.6
ZACHODNIOPOMORSKIE,2021,1007.7
ZACHODNIOPOMORSKIE,2022,957.8
ZACHODNIOPOMORSKIE,2023,913.5
ZACHODNIOPOMORSKIE,2024,423.2
DOLNOŚLĄSKIE,2009,637.1
DOLNOŚLĄSKIE,2010,586.1
DOLNOŚLĄSKIE,2011,546.7
DOLNOŚLĄSKIE,2012,1064.8
DOLNOŚLĄSKIE,2013,948.0
DOLNOŚLĄSKIE,2014,325.7
DOLNOŚLĄSKIE,2015,552.6
DOLNOŚLĄSKIE,2016,1118.5
DOLNOŚLĄSKIE,2017,964.8
DOLNOŚLĄSKIE,2018,3511.9
DOLNOŚLĄSKIE,2019,501.9
DOLNOŚLĄSKIE,2020,992.7
DOLNOŚLĄSKIE,2021,0.0
DOLNOŚLĄSKIE,2022,2742.3
DOLNOŚLĄSKIE,2023,395.9
DOLNOŚLĄSKIE,2024,715.0
OPOLSKIE,2009,0.0
OPOLSKIE,2010,0.0
OPOLSKIE,2011,0.0
OPOLSKIE,2012,0.0
OPOLSKIE,2013,0.0
OPOLSKIE,2014,0.0
OPOLSKIE,2015,0.0
OPOLSKIE,2016,0.0
OPOLSKIE,2017,0.0
OPOLSKIE,2018,0.0
OPOLSKIE,2019,0.0
OPOLSKIE,2020,0.0
OPOLSKIE,2021,0.0
OPOLSKIE,2022,0.0
OPOLSKIE,2023,0.0
OPOLSKIE,2024,0.0
KUJAWSKO-POMORSKIE,2009,1019.6
KUJAWSKO-POMORSKIE,2010,622.8
KUJAWSKO-POMORSKIE,2011,891.3
KUJAWSKO-POMORSKIE,2012,587.6
KUJAWSKO-POMORSKIE,2013,1038.1
KUJAWSKO-POMORSKIE,2014,324.5
KUJAWSKO-POMORSKIE,2015,202.9
KUJAWSKO-POMORSKIE,2016,235.4
KUJAWSKO-POMORSKIE,2017,434.1
KUJAWSKO-POMORSKIE,2018,203.3
KUJAWSKO-POMORSKIE,2019,339.2
KUJAWSKO-POMORSKIE,2020,353.1
KUJAWSKO-POMORSKIE,2021,0.0
KUJAWSKO-POMORSKIE,2022,0.0
KUJAWSKO-POMORSKIE,2023,49.1
KUJAWSKO-POMORSKIE,2024,35.1
POMORSKIE,2009,10409.7
POMORSKIE,2010,13900.6
POMORSKIE,2011,9138.2
POMORSKIE,2012,13701.1
POMORSKIE,2013,7672.6
POMORSKIE,2014,13446.6
POMORSKIE,2015,15842.9
POMORSKIE,2016,16484.5
POMORSKIE,2017,20417.4
POMORSKIE,2018,6065.5
POMORSKIE,2019,19865.7
POMORSKIE,2020,9824.5
POMORSKIE,2021,8307.4
POMORSKIE,2022,7954.0
POMORSKIE,2023,9212.3
POMORSKIE,2024,19828.8
WARMIŃSKO-MAZURSKIE,2009,1725.1
WARMIŃSKO-MAZURSKIE,2010,3618.8
WARMIŃSKO-MAZURSKIE,2011,5870.5
WARMIŃSKO-MAZURSKIE,2012,8253.7
