Region,Year,Value
MAŁOPOLSKIE,1998,197996.0
MAŁOPOLSKIE,1999,198080.7
MAŁOPOLSKIE,2000,197900.7
MAŁOPOLSKIE,2001,197963.5
MAŁOPOLSKIE,2002,197426.2
MAŁOPOLSKIE,2003,199395.3
MAŁOPOLSKIE,2004,199573.5
MAŁOPOLSKIE,2005,199552.3
MAŁOPOLSKIE,2006,199009.5
MAŁOPOLSKIE,2007,199109.8
MAŁOPOLSKIE,2008,199343.5
MAŁOPOLSKIE,2009,199724.2
MAŁOPOLSKIE,2010,200531.2
MAŁOPOLSKIE,2011,201773.6
MAŁOPOLSKIE,2012,200991.9
MAŁOPOLSKIE,2013,201369.84
MAŁOPOLSKIE,2014,201751.25
MAŁOPOLSKIE,2015,202056.83
MAŁOPOLSKIE,2016,202140.16
MAŁOPOLSKIE,2017,202078.0
MAŁOPOLSKIE,2018,201366.39
MAŁOPOLSKIE,2019,201241.09
MAŁOPOLSKIE,2020,201200.81
MAŁOPOLSKIE,2021,201002.4
MAŁOPOLSKIE,2022,200739.67
MAŁOPOLSKIE,2023,201629.99
MAŁOPOLSKIE,2024,201433.55
ŚLĄSKIE,1998,79473.7
ŚLĄSKIE,1999,80549.2
ŚLĄSKIE,2000,80612.1
ŚLĄSKIE,2001,80547.1
ŚLĄSKIE,2002,81467.0
ŚLĄSKIE,2003,82105.1
ŚLĄSKIE,2004,81996.9
ŚLĄSKIE,2005,82219.6
ŚLĄSKIE,2006,82063.8
ŚLĄSKIE,2007,82522.8
ŚLĄSKIE,2008,82494.8
ŚLĄSKIE,2009,82461.8
ŚLĄSKIE,2010,82531.5
ŚLĄSKIE,2011,82538.0
ŚLĄSKIE,2012,82558.1
ŚLĄSKIE,2013,82843.14
ŚLĄSKIE,2014,83193.12
ŚLĄSKIE,2015,82977.35
ŚLĄSKIE,2016,82716.41
ŚLĄSKIE,2017,82701.23
ŚLĄSKIE,2018,82872.54
ŚLĄSKIE,2019,82733.42
ŚLĄSKIE,2020,82843.72
ŚLĄSKIE,2021,83535.06
ŚLĄSKIE,2022,83283.33
ŚLĄSKIE,2023,82980.39
ŚLĄSKIE,2024,82252.51
LUBUSKIE,1998,9687.3
LUBUSKIE,1999,9754.7
LUBUSKIE,2000,9670.8
LUBUSKIE,2001,9854.6
LUBUSKIE,2002,10001.5
LUBUSKIE,2003,10064.2
LUBUSKIE,2004,10100.9
LUBUSKIE,2005,10263.1
LUBUSKIE,2006,10081.2
LUBUSKIE,2007,10202.4
LUBUSKIE,2008,10529.9
LUBUSKIE,2009,10895.8
LUBUSKIE,2010,11645.0
LUBUSKIE,2011,12487.6
LUBUSKIE,2012,13502.3
LUBUSKIE,2013,13865.05
LUBUSKIE,2014,14217.26
LUBUSKIE,2015,14543.88
LUBUSKIE,2016,14759.45
LUBUSKIE,2017,15040.15
LUBUSKIE,2018,15052.06
LUBUSKIE,2019,15003.21
LUBUSKIE,2020,15208.16
LUBUSKIE,2021,15284.88
LUBUSKIE,2022,15395.44
LUBUSKIE,2023,15391.99
LUBUSKIE,2024,15367.53
WIELKOPOLSKIE,1998,77596.2
WIELKOPOLSKIE,1999,78557.0
WIELKOPOLSKIE,2000,79429.9
WIELKOPOLSKIE,2001,81245.6
WIELKOPOLSKIE,2002,81905.5
WIELKOPOLSKIE,2003,82773.5
WIELKOPOLSKIE,2004,83249.1
WIELKOPOLSKIE,2005,84174.5
WIELKOPOLSKIE,2006,84964.5
WIELKOPOLSKIE,2007,85445.1
WIELKOPOLSKIE,2008,85896.3
WIELKOPOLSKIE,2009,86871.8
WIELKOPOLSKIE,2010,87181.2
WIELKOPOLSKIE,2011,88328.2
WIELKOPOLSKIE,2012,89040.3
WIELKOPOLSKIE,2013,89465.35
WIELKOPOLSKIE,2014,89888.17
WIELKOPOLSKIE,2015,90345.12
WIELKOPOLSKIE,2016,90346.22
WIELKOPOLSKIE,2017,90846.14
WIELKOPOLSKIE,2018,90822.88
WIELKOPOLSKIE,2019,91442.89
WIELKOPOLSKIE,2020,90501.98
WIELKOPOLSKIE,2021,89713.68
WIELKOPOLSKIE,2022,89500.05
WIELKOPOLSKIE,2023,88861.68
WIELKOPOLSKIE,2024,88303.61
ZACHODNIOPOMORSKIE,1998,12012.1
ZACHODNIOPOMORSKIE,1999,12336.1
ZACHODNIOPOMORSKIE,2000,12703.0
ZACHODNIOPOMORSKIE,2001,12933.6
ZACHODNIOPOMORSKIE,2002,14256.8
ZACHODNIOPOMORSKIE,2003,14421.0
ZACHODNIOPOMORSKIE,2004,14827.6
ZACHODNIOPOMORSKIE,2005,15466.0
ZACHODNIOPOMORSKIE,2006,16069.7
ZACHODNIOPOMORSKIE,2007,16763.9
ZACHODNIOPOMORSKIE,2008,17403.6
ZACHODNIOPOMORSKIE,2009,18151.1
ZACHODNIOPOMORSKIE,2010,19634.7
ZACHODNIOPOMORSKIE,2011,21241.0
ZACHODNIOPOMORSKIE,2012,22441.7
ZACHODNIOPOMORSKIE,2013,23072.74
ZACHODNIOPOMORSKIE,2014,23646.23
ZACHODNIOPOMORSKIE,2015,24925.06
ZACHODNIOPOMORSKIE,2016,25414.71
ZACHODNIOPOMORSKIE,2017,26168.1
ZACHODNIOPOMORSKIE,2018,26410.94
ZACHODNIOPOMORSKIE,2019,26641.11
ZACHODNIOPOMORSKIE,2020,27473.62
ZACHODNIOPOMORSKIE,2021,27438.65
ZACHODNIOPOMORSKIE,2022,26993.48
ZACHODNIOPOMORSKIE,2023,27071.67
ZACHODNIOPOMORSKIE,2024,26965.34
DOLNOŚLĄSKIE,1998,19477.6
DOLNOŚLĄSKIE,1999,19586.7
DOLNOŚLĄSKIE,2000,19813.1
DOLNOŚLĄSKIE,2001,19960.2
DOLNOŚLĄSKIE,2002,20198.0
DOLNOŚLĄSKIE,2003,20444.9
DOLNOŚLĄSKIE,2004,20842.9
DOLNOŚLĄSKIE,2005,21355.7
DOLNOŚLĄSKIE,2006,21707.1
DOLNOŚLĄSKIE,2007,22096.7
DOLNOŚLĄSKIE,2008,22373.7
