Region,Year,Value
MAŁOPOLSKIE,1998,12492.1
MAŁOPOLSKIE,1999,20403.1
MAŁOPOLSKIE,2000,20494.6
MAŁOPOLSKIE,2001,20193.6
MAŁOPOLSKIE,2002,19739.9
MAŁOPOLSKIE,2003,17485.8
MAŁOPOLSKIE,2004,18127.9
MAŁOPOLSKIE,2005,17630.4
MAŁOPOLSKIE,2006,17505.4
MAŁOPOLSKIE,2007,17429.0
MAŁOPOLSKIE,2008,17728.9
MAŁOPOLSKIE,2009,17458.4
MAŁOPOLSKIE,2010,17443.6
MAŁOPOLSKIE,2011,17587.1
MAŁOPOLSKIE,2012,18201.3
MAŁOPOLSKIE,2013,18352.01
MAŁOPOLSKIE,2014,17625.16
MAŁOPOLSKIE,2015,18005.52
MAŁOPOLSKIE,2016,18043.51
MAŁOPOLSKIE,2017,18112.17
MAŁOPOLSKIE,2018,18143.25
MAŁOPOLSKIE,2019,18197.84
MAŁOPOLSKIE,2020,18238.77
MAŁOPOLSKIE,2021,18310.77
MAŁOPOLSKIE,2022,18271.62
MAŁOPOLSKIE,2023,18234.04
MAŁOPOLSKIE,2024,18105.1
ŚLĄSKIE,1998,16181.5
ŚLĄSKIE,1999,16390.9
ŚLĄSKIE,2000,16484.9
ŚLĄSKIE,2001,16882.0
ŚLĄSKIE,2002,17363.5
ŚLĄSKIE,2003,18273.2
ŚLĄSKIE,2004,18372.3
ŚLĄSKIE,2005,18105.5
ŚLĄSKIE,2006,18132.2
ŚLĄSKIE,2007,18129.8
ŚLĄSKIE,2008,17937.8
ŚLĄSKIE,2009,17896.2
ŚLĄSKIE,2010,13977.8
ŚLĄSKIE,2011,13567.0
ŚLĄSKIE,2012,13510.2
ŚLĄSKIE,2013,13251.7
ŚLĄSKIE,2014,13272.65
ŚLĄSKIE,2015,13119.81
ŚLĄSKIE,2016,13147.65
ŚLĄSKIE,2017,12626.93
ŚLĄSKIE,2018,11755.42
ŚLĄSKIE,2019,12619.29
ŚLĄSKIE,2020,12684.0
ŚLĄSKIE,2021,13415.56
ŚLĄSKIE,2022,13311.52
ŚLĄSKIE,2023,11809.51
ŚLĄSKIE,2024,11680.2
LUBUSKIE,1998,866.7
LUBUSKIE,1999,846.3
LUBUSKIE,2000,830.5
LUBUSKIE,2001,832.6
LUBUSKIE,2002,799.3
LUBUSKIE,2003,794.6
LUBUSKIE,2004,675.1
LUBUSKIE,2005,71.0
LUBUSKIE,2006,71.0
LUBUSKIE,2007,71.0
LUBUSKIE,2008,61.8
LUBUSKIE,2009,63.9
LUBUSKIE,2010,62.9
LUBUSKIE,2011,62.9
LUBUSKIE,2012,62.9
LUBUSKIE,2013,60.9
LUBUSKIE,2014,60.9
LUBUSKIE,2015,51.15
LUBUSKIE,2016,51.15
LUBUSKIE,2017,51.15
LUBUSKIE,2018,51.15
LUBUSKIE,2019,51.15
LUBUSKIE,2020,52.13
LUBUSKIE,2021,43.02
LUBUSKIE,2022,43.02
LUBUSKIE,2023,43.02
LUBUSKIE,2024,43.02
WIELKOPOLSKIE,1998,3803.6
WIELKOPOLSKIE,1999,3721.3
WIELKOPOLSKIE,2000,3789.0
WIELKOPOLSKIE,2001,3712.4
WIELKOPOLSKIE,2002,3769.5
WIELKOPOLSKIE,2003,4282.5
WIELKOPOLSKIE,2004,4441.7
WIELKOPOLSKIE,2005,4777.9
WIELKOPOLSKIE,2006,6319.9
WIELKOPOLSKIE,2007,6734.4
WIELKOPOLSKIE,2008,6868.4
WIELKOPOLSKIE,2009,6741.3
WIELKOPOLSKIE,2010,6830.5
WIELKOPOLSKIE,2011,6917.5
WIELKOPOLSKIE,2012,6799.1
WIELKOPOLSKIE,2013,6484.08
WIELKOPOLSKIE,2014,6521.61
WIELKOPOLSKIE,2015,6550.97
WIELKOPOLSKIE,2016,6753.22
WIELKOPOLSKIE,2017,6712.01
WIELKOPOLSKIE,2018,6540.25
WIELKOPOLSKIE,2019,6568.77
WIELKOPOLSKIE,2020,6569.84
WIELKOPOLSKIE,2021,6568.59
WIELKOPOLSKIE,2022,6557.85
WIELKOPOLSKIE,2023,6249.21
WIELKOPOLSKIE,2024,6249.19
ZACHODNIOPOMORSKIE,1998,3057.4
ZACHODNIOPOMORSKIE,1999,3033.0
ZACHODNIOPOMORSKIE,2000,3073.2
ZACHODNIOPOMORSKIE,2001,3073.2
ZACHODNIOPOMORSKIE,2002,2867.7
ZACHODNIOPOMORSKIE,2003,2861.6
ZACHODNIOPOMORSKIE,2004,2829.5
ZACHODNIOPOMORSKIE,2005,2848.6
ZACHODNIOPOMORSKIE,2006,2844.5
ZACHODNIOPOMORSKIE,2007,2843.1
ZACHODNIOPOMORSKIE,2008,2824.0
ZACHODNIOPOMORSKIE,2009,3008.3
ZACHODNIOPOMORSKIE,2010,3008.0
ZACHODNIOPOMORSKIE,2011,3010.8
ZACHODNIOPOMORSKIE,2012,2824.6
ZACHODNIOPOMORSKIE,2013,2825.73
ZACHODNIOPOMORSKIE,2014,2802.06
ZACHODNIOPOMORSKIE,2015,2679.72
ZACHODNIOPOMORSKIE,2016,2714.38
ZACHODNIOPOMORSKIE,2017,2634.05
ZACHODNIOPOMORSKIE,2018,3173.92
ZACHODNIOPOMORSKIE,2019,3171.85
ZACHODNIOPOMORSKIE,2020,3178.57
ZACHODNIOPOMORSKIE,2021,3168.46
ZACHODNIOPOMORSKIE,2022,3133.65
ZACHODNIOPOMORSKIE,2023,3158.07
ZACHODNIOPOMORSKIE,2024,3140.74
DOLNOŚLĄSKIE,1998,3861.3
DOLNOŚLĄSKIE,1999,4139.5
DOLNOŚLĄSKIE,2000,4115.2
DOLNOŚLĄSKIE,2001,4106.5
DOLNOŚLĄSKIE,2002,4137.5
DOLNOŚLĄSKIE,2003,4421.9
DOLNOŚLĄSKIE,2004,4354.1
DOLNOŚLĄSKIE,2005,4155.9
DOLNOŚLĄSKIE,2006,4174.6
DOLNOŚLĄSKIE,2007,3288.3
DOLNOŚLĄSKIE,2008,3189.1
DOLNOŚLĄSKIE,2009,3167.5
DOLNOŚLĄSKIE,2010,3344.2
DOLNOŚLĄSKIE,2011,3319.9
DOLNOŚLĄSKIE,2012,2451.3
DOLNOŚLĄSKIE,2013,1937.51
DOLNOŚLĄSKIE,2014,1901.5
DOLNOŚLĄSKIE,2015,1796.38
DOLNOŚLĄSKIE,2016,1793.28
DOLNOŚLĄSKIE,2017,1779.38
DOLNOŚLĄSKIE,2018,1812.54
DOLNOŚLĄSKIE,2019,1800.31
DOLNOŚLĄSKIE,2020,1790.69
DOLNOŚLĄSKIE,2021,1940.68
DOLNOŚLĄSKIE,2022,2644.53
DOLNOŚLĄSKIE,2023,1894.76
DOLNOŚLĄSKIE,2024,1892.94
OPOLSKIE,1998,1770.5
OPOLSKIE,1999,2377.1
OPOLSKIE,2000,2379.7
OPOLSKIE,2001,2334.3
OPOLSKIE,2002,2346.8
OPOLSKIE,2003,2431.0
OPOLSKIE,2004,2649.3
OPOLSKIE,2005,2645.7
OPOLSKIE,2006,2081.7
OPOLSKIE,2007,1180.8
OPOLSKIE,2008,1395.1
OPOLSKIE,2009,1422.4
OPOLSKIE,2010,1217.4
OPOLSKIE,2011,1217.4
OPOLSKIE,2012,1224.8
OPOLSKIE,2013,1093.14
OPOLSKIE,2014,1093.14
OPOLSKIE,2015,1093.14
OPOLSKIE,2016,1089.19
OPOLSKIE,2017,1099.5
OPOLSKIE,2018,1098.94
OPOLSKIE,2019,1098.6
OPOLSKIE,2020,1097.25
OPOLSKIE,2021,1097.24
OPOLSKIE,2022,1099.66
OPOLSKIE,2023,1097.66
OPOLSKIE,2024,1085.27
KUJAWSKO-POMORSKIE,1998,3134.8
KUJAWSKO-POMORSKIE,1999,2892.1
KUJAWSKO-POMORSKIE,2000,2856.6
KUJAWSKO-POMORSKIE,2001,2872.1
KUJAWSKO-POMORSKIE,2002,2873.0
KUJAWSKO-POMORSKIE,2003,2861.2
KUJAWSKO-POMORSKIE,2004,2789.8
KUJAWSKO-POMORSKIE,2005,2559.2
KUJAWSKO-POMORSKIE,2006,2563.6
KUJAWSKO-POMORSKIE,2007,2157.3
KUJAWSKO-POMORSKIE,2008,2085.6
KUJAWSKO-POMORSKIE,2009,2562.6
KUJAWSKO-POMORSKIE,2010,2411.4
KUJAWSKO-POMORSKIE,2011,3372.9
KUJAWSKO-POMORSKIE,2012,3003.8
KUJAWSKO-POMORSKIE,2013,2907.65
KUJAWSKO-POMORSKIE,2014,2903.45
KUJAWSKO-POMORSKIE,2015,2920.45
KUJAWSKO-POMORSKIE,2016,2898.16
KUJAWSKO-POMORSKIE,2017,3185.4
KUJAWSKO-POMORSKIE,2018,3275.95
KUJAWSKO-POMORSKIE,2019,3267.89
KUJAWSKO-POMORSKIE,2020,3264.68
KUJAWSKO-POMORSKIE,2021,3245.26
KUJAWSKO-POMORSKIE,2022,3223.14
KUJAWSKO-POMORSKIE,2023,4213.67
KUJAWSKO-POMORSKIE,2024,3193.79
POMORSKIE,1998,1975.9
POMORSKIE,1999,1989.5
POMORSKIE,2000,2052.8
POMORSKIE,2001,2349.3
POMORSKIE,2002,2348.7
POMORSKIE,2003,2396.7
POMORSKIE,2004,2355.6
POMORSKIE,2005,2309.8
POMORSKIE,2006,2210.0
POMORSKIE,2007,2140.6
POMORSKIE,2008,2239.5
